id,chart_template_id/id,code,name,account_type,reconcile
tw_341500,l10n_tw.l10n_tw_chart_template,341500,"Other equity interest, others",data_account_type_equity,FALSE
tw_411100,l10n_tw.l10n_tw_chart_template,411100,Sales revenue,data_account_type_revenue,FALSE
tw_411300,l10n_tw.l10n_tw_chart_template,411300,Sales returns,data_account_type_revenue,FALSE
tw_411400,l10n_tw.l10n_tw_chart_template,411400,Sales discounts and allowances,data_account_type_revenue,FALSE
tw_414100,l10n_tw.l10n_tw_chart_template,414100,Other operating revenue,data_account_type_revenue,FALSE
tw_511100,l10n_tw.l10n_tw_chart_template,511100,Cost of sales,data_account_type_direct_costs,FALSE
tw_512100,l10n_tw.l10n_tw_chart_template,512100,Purchase of goods,data_account_type_direct_costs,FALSE
tw_512300,l10n_tw.l10n_tw_chart_template,512300,Purchases returns,data_account_type_direct_costs,FALSE
tw_512400,l10n_tw.l10n_tw_chart_template,512400,Purchases discounts and allowances,data_account_type_direct_costs,FALSE
tw_513100,l10n_tw.l10n_tw_chart_template,513100,Purchase of raw materials,data_account_type_direct_costs,FALSE
tw_513300,l10n_tw.l10n_tw_chart_template,513300,Raw materials purchase returns,data_account_type_direct_costs,FALSE
tw_513400,l10n_tw.l10n_tw_chart_template,513400,Raw materials purchase discounts and allowances,data_account_type_direct_costs,FALSE
tw_514100,l10n_tw.l10n_tw_chart_template,514100,Direct labor,data_account_type_direct_costs,FALSE
tw_515200,l10n_tw.l10n_tw_chart_template,515200,Rent expense,data_account_type_direct_costs,FALSE
tw_515700,l10n_tw.l10n_tw_chart_template,515700,Repairs and maintenance expense,data_account_type_direct_costs,FALSE
tw_515800,l10n_tw.l10n_tw_chart_template,515800,Packing expenses,data_account_type_direct_costs,FALSE
tw_515900,l10n_tw.l10n_tw_chart_template,515900,Utilities expense,data_account_type_direct_costs,FALSE
tw_516000,l10n_tw.l10n_tw_chart_template,516000,Insurance expense,data_account_type_direct_costs,FALSE
tw_516100,l10n_tw.l10n_tw_chart_template,516100,Processing expense,data_account_type_direct_costs,FALSE
tw_516300,l10n_tw.l10n_tw_chart_template,516300,Depreciations,data_account_type_direct_costs,FALSE
tw_516500,l10n_tw.l10n_tw_chart_template,516500,Meal expense,data_account_type_direct_costs,FALSE
tw_516800,l10n_tw.l10n_tw_chart_template,516800,Indirect materials,data_account_type_direct_costs,FALSE
tw_516900,l10n_tw.l10n_tw_chart_template,516900,Other overheads,data_account_type_direct_costs,FALSE
tw_591100,l10n_tw.l10n_tw_chart_template,591100,Other operating costs,data_account_type_direct_costs,FALSE
tw_611100,l10n_tw.l10n_tw_chart_template,611100,Wages and salaries,data_account_type_expenses,FALSE
tw_611200,l10n_tw.l10n_tw_chart_template,611200,Rent expense,data_account_type_expenses,FALSE
tw_611300,l10n_tw.l10n_tw_chart_template,611300,Stationery supplies,data_account_type_expenses,FALSE
tw_611400,l10n_tw.l10n_tw_chart_template,611400,Traveling Expense,data_account_type_expenses,FALSE
tw_611500,l10n_tw.l10n_tw_chart_template,611500,Freight,data_account_type_expenses,FALSE
tw_611600,l10n_tw.l10n_tw_chart_template,611600,Postage expenses,data_account_type_expenses,FALSE
tw_611700,l10n_tw.l10n_tw_chart_template,611700,Repairs and maintenance expense,data_account_type_expenses,FALSE
tw_611800,l10n_tw.l10n_tw_chart_template,611800,Advertisement expense,data_account_type_expenses,FALSE
tw_611900,l10n_tw.l10n_tw_chart_template,611900,Utilities expense,data_account_type_expenses,FALSE
tw_612000,l10n_tw.l10n_tw_chart_template,612000,Insurance expense,data_account_type_expenses,FALSE
tw_612100,l10n_tw.l10n_tw_chart_template,612100,Entertainment expense,data_account_type_expenses,FALSE
tw_612200,l10n_tw.l10n_tw_chart_template,612200,Donation expense,data_account_type_expenses,FALSE
tw_612300,l10n_tw.l10n_tw_chart_template,612300,Taxes,data_account_type_expenses,FALSE
tw_612400,l10n_tw.l10n_tw_chart_template,612400,Losses on doubtful debts,data_account_type_expenses,FALSE
tw_612500,l10n_tw.l10n_tw_chart_template,612500,Depreciations,data_account_type_expenses,FALSE
tw_612600,l10n_tw.l10n_tw_chart_template,612600,Depletions and amortizations,data_account_type_expenses,FALSE
tw_612700,l10n_tw.l10n_tw_chart_template,612700,Losses on export sales,data_account_type_expenses,FALSE
tw_612800,l10n_tw.l10n_tw_chart_template,612800,Meal expense,data_account_type_expenses,FALSE
tw_612900,l10n_tw.l10n_tw_chart_template,612900,Employee benefits/welfare,data_account_type_expenses,FALSE
tw_613000,l10n_tw.l10n_tw_chart_template,613000,Research and development expense,data_account_type_expenses,FALSE
tw_613100,l10n_tw.l10n_tw_chart_template,613100,Commissions expense,data_account_type_expenses,FALSE
tw_613200,l10n_tw.l10n_tw_chart_template,613200,Training expense,data_account_type_expenses,FALSE
tw_613300,l10n_tw.l10n_tw_chart_template,613300,Services expense,data_account_type_expenses,FALSE
tw_613400,l10n_tw.l10n_tw_chart_template,613400,Other operating expenses,data_account_type_expenses,FALSE
tw_711100,l10n_tw.l10n_tw_chart_template,711100,Interest revenue,data_account_type_other_income,FALSE
tw_712100,l10n_tw.l10n_tw_chart_template,712100,Rent income,data_account_type_other_income,FALSE
tw_714100,l10n_tw.l10n_tw_chart_template,714100,Dividend revenue,data_account_type_other_income,FALSE
tw_715100,l10n_tw.l10n_tw_chart_template,715100,Interest expense,data_account_type_expenses,FALSE
tw_717100,l10n_tw.l10n_tw_chart_template,717100,Investment income accounted for using equity method,data_account_type_other_income,FALSE
tw_717200,l10n_tw.l10n_tw_chart_template,717200,Investment loss accounted for using equity method,data_account_type_expenses,FALSE
tw_718100,l10n_tw.l10n_tw_chart_template,718100,Foreign exchange gains,data_account_type_other_income,FALSE
tw_718200,l10n_tw.l10n_tw_chart_template,718200,Foreign exchange losses,data_account_type_expenses,FALSE
tw_718500,l10n_tw.l10n_tw_chart_template,718500,Cash difference gains,data_account_type_other_income,FALSE
tw_718600,l10n_tw.l10n_tw_chart_template,718600,Cash difference losses,data_account_type_expenses,FALSE
tw_719100,l10n_tw.l10n_tw_chart_template,719100,Gains on disposals of investment property,data_account_type_other_income,FALSE
tw_719200,l10n_tw.l10n_tw_chart_template,719200,Losses on disposals of investment property,data_account_type_expenses,FALSE
tw_720100,l10n_tw.l10n_tw_chart_template,720100,"Net gain or loss on disposals of property, plant and equipment",data_account_type_other_income,FALSE
tw_720200,l10n_tw.l10n_tw_chart_template,720200,"Gains on disposals of property, plant and equipment",data_account_type_expenses,FALSE
tw_723200,l10n_tw.l10n_tw_chart_template,723200,Commissions revenue,data_account_type_other_income,FALSE
tw_724700,l10n_tw.l10n_tw_chart_template,724700,Other revenue,data_account_type_other_income,FALSE
tw_821100,l10n_tw.l10n_tw_chart_template,821100,Tax expense (income),data_account_type_expenses,FALSE
